rank,id,name,symbol,slug,num_market_pairs,date_added,max_supply,circulating_supply,total_supply,cmc_rank,last_updated,price_usd,volume_24h_usd,volume_change_24h,percent_change_1h,percent_change_24h,percent_change_7d,percent_change_30d,percent_change_60d,percent_change_90d,market_cap_usd,market_cap_dominance,fully_diluted_market_cap
20,5805,Avalanche,AVAX,avalanche,1023,2020-07-13T00:00:00.000Z,715748719,429183011.50257415,460852111.50257415,20,2025-12-07T21:39:00.000Z,13.712178340918175,311594721.3420018,11.8684,-0.45862954,2.28778586,-1.15137678,-23.30614942,-52.64723358,-45.93921799,5885033994.615633,0.1901,9814474082.21
21,4642,Hedera,HBAR,hedera,404,2019-09-17T00:00:00.000Z,50000000000,42476304284.89427,50000000000,21,2025-12-07T21:39:00.000Z,0.1339077880533113,158156383.0218811,72.6203,-0.96066579,0.12450656,-6.96233695,-25.15753457,-39.1223064,-40.87843438,5687907951.469581,0.1837,6695389402.67
22,1437,Zcash,ZEC,zcash,545,2016-10-29T00:00:00.000Z,21000000,16426414.2905448,16426414.2905448,22,2025-12-07T21:39:00.000Z,345.9023746233642,711137229.6399555,-5.8326,-1.40906557,3.48723725,-20.89751674,-50.99025521,94.21682229,582.90599289,5681935709.646611,0.1835,7263949867.09
23,4943,Dai,DAI,multi-collateral-dai,3647,2019-11-22T00:00:00.000Z,,5365382702.664872,5365382702.664872,23,2025-12-07T21:29:00.000Z,0.9999171456669053,70859369.53425643,-18.6204,0.00011008,0.00018192,0.0044336,-0.00613855,0.00100459,0.01762282,5364938157.459245,0.1732,5364938157.46
24,5994,Shiba Inu,SHIB,shiba-inu,1022,2020-08-01T00:00:00.000Z,589552695333683,589244331320300.1,589500600541963.6,24,2025-12-07T21:38:00.000Z,8.505277525844047e-06,90751487.12561549,-14.4162,-0.16264469,1.01572173,0.63121375,-17.12309622,-31.18739454,-33.83580965,5011686568.409553,0.1619,5014309289.92
25,11419,Toncoin,TON,toncoin,838,2021-08-26T13:40:22.000Z,,2446025521.2482734,5147759018.807792,25,2025-12-07T21:39:00.000Z,1.6660463656444633,95693084.3637549,37.8303,-0.33152245,4.42292234,3.66300917,-20.5145567,-39.93616171,-46.28798221,4075191929.94929,0.1316,8576405204.5
26,33251,World Liberty Financial,WLFI,world-liberty-financial-wlfi,383,2024-10-01T02:34:47.000Z,100000000000,26733562076,100000000000,26,2025-12-07T21:39:00.000Z,0.15059398477477562,92463023.53836428,22.6152,-0.23237562,-0.26982811,-5.60575963,18.96717165,-19.77623513,-28.7314313,4025913640.248663,0.13,15059398477.48
27,3635,Cronos,CRO,cronos,335,2018-12-14T00:00:00.000Z,100000000000,37349068253.21728,98215735384.86217,27,2025-12-07T21:39:00.000Z,0.10431727671040414,12683204.60036018,37.5643,-0.40765607,-0.25733014,-3.50338523,-20.47600178,-47.46026529,-58.75685248,3896153087.8466372,0.1259,10431727671.04
28,27772,PayPal USD,PYUSD,paypal-usd,141,2023-08-21T14:30:00.000Z,,3846371805.75396,3846371805.75396,28,2025-12-07T21:37:00.000Z,0.9998440509700466,50724449.64528293,34.5702,0.00875776,0.01499075,0.01806201,0.02153993,0.03082805,0.05690183,3845771967.8020124,0.1243,3845771967.8
29,27075,Mantle,MNT,mantle,209,2023-07-17T11:00:31.000Z,6219316795,3252944055.636841,6219316794.89,29,2025-12-07T21:38:00.000Z,1.1195629730425025,84605531.29445581,7.4316,-0.54765603,4.83637742,3.11520759,-15.72088181,-58.44239703,-4.59229741,3641875718.0697174,0.1176,6962916801.3
30,7083,Uniswap,UNI,uniswap,1349,2020-09-17T00:00:00.000Z,,630330527.7099,1000000000,30,2025-12-07T21:35:00.000Z,5.599914561812802,208341948.11075774,23.1933,-0.81224821,0.53989352,-8.83341338,-6.0428616,-30.53399783,-41.32719036,3529797100.8778167,0.1141,5599914561.81
31,6636,Polkadot,DOT,polkadot-new,996,2020-08-19T00:00:00.000Z,,1643013761.5957448,1643013761.5957448,31,2025-12-07T21:38:00.000Z,2.132106577395889,144295709.61031812,29.0286,-0.59425738,-0.37062306,-5.68039326,-34.18047493,-49.45280079,-47.2024683,3503080447.850249,0.1131,3503080447.85
32,22974,Bittensor,TAO,bittensor,231,2023-03-06T05:20:00.000Z,21000000,10450709.20454326,21000000,32,2025-12-07T21:39:00.000Z,284.6601991180726,104866447.18796435,30.3504,-0.92472729,1.64319265,-4.26940827,-29.54443455,-15.89516319,-16.51695554,2974900963.090359,0.0961,5977864181.48
33,7278,Aave,AAVE,aave,1198,2020-10-02T00:00:00.000Z,,15276421.32417134,16000000,33,2025-12-07T21:37:00.000Z,192.46678875096612,283670955.06963706,89.7997,-0.67913124,2.14869047,7.10989236,-9.03305779,-32.77748341,-36.39690959,2940203755.8700395,0.095,3079468620.02
34,36148,World Liberty Financial USD,USD1,usd1,727,2025-04-13T05:37:56.000Z,,2699769620.230469,2699769620.230469,34,2025-12-07T21:38:00.000Z,0.9992504783838668,217647051.43093693,10.2709,0.00388117,-0.00610974,-0.01940555,-0.00306301,-0.05648342,0.0319771,2697746084.541527,0.0871,2697746084.54
35,11092,Bitget Token,BGB,bitget-token-new,43,2021-07-29T00:00:00.000Z,919992035.98,696868685.627705,919992035.9787906,35,2025-12-07T21:36:00.000Z,3.540070468238687,57667047.61697009,4.1706,-0.09278492,0.58280211,-1.9796117,-13.15323884,-37.62957593,-26.83782746,2466964254.230948,0.0798,3256836637.59
36,3897,OKB,OKB,okb,197,2019-04-30T00:00:00.000Z,21000000,21000000,21000000,36,2025-12-07T21:39:00.000Z,108.5563608376313,28134172.32743691,-27.7261,-0.31944545,1.689756,2.07520249,-13.75549031,-51.53948086,-43.00959223,2279683577.590257,0.0736,2279683577.59
37,6535,NEAR Protocol,NEAR,near-protocol,597,2020-08-11T00:00:00.000Z,,1281894627,1281894626,37,2025-12-07T21:38:00.000Z,1.748816582834936,141236145.27042717,8.7294,-0.2805467,1.91696208,-5.53784827,-37.72805209,-41.62169672,-32.09880105,2241798581.1446047,0.0724,2241798579.4
38,37263,Canton,CC,canton-network,54,2025-07-08T04:07:45.000Z,,35849435279.419914,35849435279.419914,38,2025-12-07T21:39:00.000Z,0.0622402732302912,10011188.90236931,-56.049,-0.20145843,-1.23155946,-28.32200362,-58.96046264,-58.96046264,-58.96046264,2231278646.942736,0.0721,2231278646.94
39,30171,Ethena,ENA,ethena,398,2024-03-29T04:42:08.000Z,15000000000,7690625000,15000000000,39,2025-12-07T21:39:00.000Z,0.2777111695436621,196410818.7413383,47.2482,-0.70385555,4.7519836,3.57686934,-18.68764152,-51.92960275,-63.98266209,2135772463.2717264,0.069,4165667543.15
40,36341,Aster,ASTER,aster,373,2025-04-25T06:46:11.000Z,8000000000,2217079180.973094,7922139508.973094,40,2025-12-07T21:39:00.000Z,0.9448835194165913,272832147.5641495,83.1853,-1.00651837,-2.89964074,-12.46377341,-17.08780436,-51.46191247,1019.70028685,2094881579.3431108,0.0677,7559068155.33
41,1321,Ethereum Classic,ETC,ethereum-classic,681,2016-07-24T00:00:00.000Z,210700000,154626273.20419794,210700000,41,2025-12-07T21:39:00.000Z,13.37194745082409,63840667.30436893,21.1645,-0.1656797,-0.10008009,-3.92770852,-24.84158324,-32.13964694,-35.65679707,2067654399.803304,0.0668,2817469327.89
42,24478,Pepe,PEPE,pepe,630,2023-04-17T06:18:08.000Z,420689899653542.56,420689899653542.56,420689899653542.56,42,2025-12-07T21:39:00.000Z,4.56098844382256e-06,290761422.8600356,41.5028,0.13263735,1.91667242,-1.43328202,-27.51622612,-52.43448878,-55.57245187,1918761770.75268,0.062,1918761770.75
43,8916,Internet Computer,ICP,internet-computer,390,2021-03-23T00:00:00.000Z,,541629255.4696764,541629255.4696764,43,2025-12-07T21:39:00.000Z,3.481471761730539,76099675.77662511,-3.6326,-0.90560825,-0.33319698,-12.60706799,-55.55673695,-22.97608908,-28.67917579,1885666958.2448144,0.0609,1885666958.24
44,35697,Pi,PI,pi,66,2025-02-11T07:16:10.000Z,100000000000,8346154501.006946,100000000000,44,2025-12-07T21:31:00.000Z,0.2241052296975789,15759154.55395123,16.7781,-0.41374718,-0.71393656,-7.85922357,-2.24732596,-7.05407584,-34.87552648,1870416871.5396435,0.0604,22410522969.76
45,5176,Tether Gold,XAUt,tether-gold,282,2020-02-07T00:00:00.000Z,,377737.6417,522089.3,45,2025-12-07T21:35:00.000Z,4202.136386698755,15921611718.148668,1.5833,0.01491072,-0.0118803,-0.47685423,5.27499816,3.75919185,15.5895162,1587305088.8133469,0.0513,2193890444.64
46,21159,Ondo,ONDO,ondo-finance,390,2024-01-18T12:06:25.000Z,,3159107529,10000000000,46,2025-12-07T21:35:00.000Z,0.4695724988373374,52019891.87715186,45.6719,-0.71179719,0.45272908,-8.48525521,-31.05536453,-49.19797532,-49.54819929,1483430016.4883764,0.048,4695724988.37
47,4705,PAX Gold,PAXG,pax-gold,318,2019-09-26T00:00:00.000Z,,339742.964,339742.964,47,2025-12-07T21:39:00.000Z,4208.13629867495,47915024.55209754,-2.4905,0.08318977,-0.18148284,-0.94769322,5.30194283,3.67622753,15.60636819,1429684699.0278168,0.0462,1429684699.03
48,20396,Kaspa,KAS,kaspa,208,2022-06-01T00:03:58.000Z,28704026601,26993851134.59494,26993851134.59494,48,2025-12-07T21:39:00.000Z,0.05261915779544347,25310686.16887264,29.7239,-1.38058025,2.33567616,-11.61022046,-1.90282097,-30.77778417,-35.62221179,1420393712.357962,0.0459,1510381705.08
49,13502,Worldcoin,WLD,worldcoin-org,508,2021-10-28T15:31:43.000Z,,2388035725.0141344,10000000000,49,2025-12-07T21:35:00.000Z,0.5852421963686273,84589933.6909281,23.3883,-1.11503206,1.04268722,-8.29968992,-31.08006113,-54.20368666,-61.68760233,1397579272.7140193,0.0452,5852421963.69
50,33793,Global Dollar,USDG,global-dollar-usdg,33,2024-11-05T04:54:47.000Z,,1368490294.586795,1368490294.586795,50,2025-12-07T21:37:00.000Z,0.9999767338460253,10079132.45613218,15.6341,0.01389432,0.01747278,0.05099725,0.01789224,0.02853865,0.02146879,1368458455.0808883,0.0442,1368458455.08
